p,q,aic,bic,hqic,llf,converged,ljung_box_p_lag12,eligible_for_selection
4,1,130.06591255880898,149.5783547582833,137.99000537544916,-58.032956279404495,True,0.10029518101743859,True
2,3,133.14267750741365,152.65511970688797,141.06677032405383,-59.571338753706826,True,0.013175900898837474,True
2,4,134.96845244419086,157.26838638644722,144.02455852035104,-59.48422622209542,True,0.016492101470056045,True
3,3,135.07621583670277,157.37614977895913,144.13232191286298,-59.538107918351386,True,0.014250022865693586,True
3,4,136.54933559040504,161.63676127544346,146.73745492608526,-59.27466779520252,True,0.016448097995012616,True
4,0,137.84893251007773,154.57388296677001,144.6410120671979,-62.924466255038865,True,0.003262785113595485,True
2,1,139.43969289654223,153.37715161045244,145.09975919414234,-64.71984644827111,True,3.5381145531256135e-06,True
3,1,139.8595920390884,156.58454249578068,146.65167159620853,-63.9297960195442,True,4.597375751282827e-06,True
1,4,140.07664423957567,159.58908643905,148.00073705621585,-63.038322119787836,True,0.009390626986455887,True
1,3,145.01209843610542,161.7370488927977,151.80417799322555,-66.50604921805271,True,0.0007748959460541743,True
2,0,155.11731812089204,166.26728509202022,159.64537115897213,-73.55865906044602,True,3.996716198237019e-08,True
3,0,155.486588234833,169.4240469487432,161.1466545324331,-72.7432941174165,True,2.5620056849818513e-09,True
1,1,155.84042463767747,166.99039160880565,160.36847767575756,-73.92021231883874,True,4.714200345507415e-08,True
1,2,157.7358703839745,171.6733290978847,163.3959366815746,-73.86793519198724,True,2.9421651653431244e-08,True
1,0,158.7699145123571,167.13238974070325,162.16595429091717,-76.38495725617855,True,1.517829957000415e-11,True
0,3,293.93022068450625,307.8676793984165,299.59028698210636,-141.96511034225313,True,2.604096924922391e-41,True
0,2,342.3582743016226,353.5082412727508,346.8863273397027,-167.1791371508113,True,2.5219927575691443e-74,True
0,1,445.4516628049216,453.81413803326774,448.8477025834817,-219.7258314024608,True,5.806070220925314e-155,True
4,3,119.74848372747816,144.83590941251657,129.93660306315837,-50.87424186373908,False,0.5681687785080407,False
4,4,121.05100100188145,148.9259184297019,132.3711335970817,-50.52550050094072,False,0.5264008705955969,False
4,2,131.43437542672194,153.73430936897833,140.49048150288215,-57.71718771336098,False,0.11852876195051723,False
3,2,151.67592790704626,171.18837010652058,159.60002072368644,-68.83796395352313,False,1.1031559378838499e-06,False
2,2,156.23930868760863,172.9642591443009,163.03138824472876,-72.11965434380431,False,6.282710641392496e-08,False
0,4,237.70593311440274,254.43088357109502,244.49801267152287,-112.85296655720137,False,6.088815890076993e-41,False
