lag,aic,bic,hqic,fpe
0,2.6867389785003732,2.7313019513741175,2.704845141890175,14.683723189708
1,1.233315964328567,1.367004882949799,1.2876344544979714,3.43265198576775
2,1.230336692543762,1.453151556912482,1.3208675094927695,3.422653879271269
3,1.2047240799902532,1.5166648901064614,1.331467223718864,3.3365673723295406
4,0.954590966095279,1.3556577219589752,1.1175464366034928,2.5988156747204667
5,0.7077174263274879,1.1979101279386721,0.9068852236153047,2.0310794956982083
6,0.7470449230064403,1.3263635703651127,0.9824250470738601,2.113722153230067
7,0.805593235777052,1.4740378288832123,1.077185686624075,2.2428712629729914
8,0.7254894415509032,1.4830599804045514,1.0332942191775292,2.0722739352015767
9,0.6546673301098433,1.5013638147109796,0.9986844345160724,1.9330261710309833
10,0.6103125690047562,1.5461349993533804,0.9905420001905882,1.8520581087966623
11,0.5724124695493751,1.5973608456454873,0.9888542275148102,1.786576900445015
12,0.5799008933649408,1.6939752152085412,1.032554978109979,1.8041124613476693
