,usa_gdp_growth,austria_gdp_growth
const,0.7375065134917242,0.4638966513428396
L1.usa_gdp_growth,1.0871618271846606,0.185495243591944
L1.austria_gdp_growth,-0.3104249005204638,0.4060538959251758
L2.usa_gdp_growth,-0.3598440189406113,-0.4222485556522302
L2.austria_gdp_growth,0.328824676234191,0.4785821215861679
L3.usa_gdp_growth,0.3459914204279996,0.6069091194025833
L3.austria_gdp_growth,-0.2373099939932395,-0.1612694810134785
L4.usa_gdp_growth,-0.8133991381224284,-0.6050610611328324
L4.austria_gdp_growth,0.1242869619894392,-0.3105755356047962
L5.usa_gdp_growth,0.9634819932512578,0.4599338963135524
L5.austria_gdp_growth,-0.40710367116565954,-0.2233298422242293
L6.usa_gdp_growth,-0.1654117036163156,0.023283681847993662
L6.austria_gdp_growth,0.10974648494708206,0.08324023962261315
L7.usa_gdp_growth,-0.0191102888334095,0.10832584084535135
L7.austria_gdp_growth,0.05284494975860753,0.11215064905353161
L8.usa_gdp_growth,-0.3167700532866907,-0.027745767316996572
L8.austria_gdp_growth,0.029227843995214678,-0.42087920977151155
L9.usa_gdp_growth,0.5075091974700152,0.04771372637161161
L9.austria_gdp_growth,-0.18985734502394266,0.11629931286198082
L10.usa_gdp_growth,-0.2786782439073554,-0.16546727395841979
L10.austria_gdp_growth,0.1560032579763054,0.09402064131088148
L11.usa_gdp_growth,0.11695832074835524,0.2812691516651001
L11.austria_gdp_growth,-0.16373963077776416,-0.14244009853116132
